City,Month,Average high,Average low,Average precip,Days with precip,Hours of sun,,,,,,,,,,,,,,
Minneapolis,Jan,24,8,0.91,8,140,,,,,,,,,,,,,,
Minneapolis,Feb,29,13,0.79,7,166,,,,,,,,,,,,,,
Minneapolis,Mar,41,24,1.89,11,200,,,,,,,,,,,,,,
Minneapolis,Apr,58,37,2.68,9,231,,,,,,,,,,,,,,
Minneapolis,May,69,49,3.35,11,272,,,,,,,,,,,,,,
Minneapolis,Jun,79,59,4.25,13,302,,,,,,,,,,,,,,
Minneapolis,Jul,83,64,4.06,10,343,,,,,,,,,,,,,,
Minneapolis,Aug,80,62,4.29,10,296,,,,,,,,,,,,,,
Minneapolis,Sep,72,52,3.07,9,237,,,,,,,,,,,,,,
Minneapolis,Oct,58,40,2.44,8,193,,,,,,,,,,,,,,
Minneapolis,Nov,41,26,1.77,8,115,,,,,,,,,,,,,,
Minneapolis,Dec,27,12,1.14,8,112,,,,,,,,,,,,,,
Boston,Jan,36,22,3.35,11,164,,,,,,,,,,,,,,
Boston,Feb,39,25,3.23,9,169,,,,,,,,,,,,,,
Boston,Mar,45,31,4.29,11,213,,,,,,,,,,,,,,
Boston,Apr,56,41,3.74,11,228,,,,,,,,,,,,,,
Boston,May,66,50,3.46,12,266,,,,,,,,,,,,,,
Boston,Jun,76,60,3.66,10,288,,,,,,,,,,,,,,
Boston,Jul,81,65,3.43,9,300,,,,,,,,,,,,,,
Boston,Aug,80,65,3.27,9,275,,,,,,,,,,,,,,
Boston,Sep,72,57,3.43,8,237,,,,,,,,,,,,,,
Boston,Oct,61,47,3.94,9,207,,,,,,,,,,,,,,
Boston,Nov,51,38,3.98,10,144,,,,,,,,,,,,,,
Boston,Dec,41,28,3.78,11,142,,,,,,,,,,,,,,
Denver,Jan,45,18,0.39,7,,,,,,,,,,,,,,,
Denver,Feb,46,19,0.35,6,,,,,,,,,,,,,,,
Denver,Mar,54,27,0.91,11,,,,,,,,,,,,,,,
Denver,Apr,61,34,1.69,7,,,,,,,,,,,,,,,
Denver,May,72,43,2.13,1,,,,,,,,,,,,,,,
Denver,Jun,82,52,1.97,0,,,,,,,,,,,,,,,
Denver,Jul,90,59,2.17,0,,,,,,,,,,,,,,,
Denver,Aug,88,57,1.69,0,,,,,,,,,,,,,,,
Denver,Sep,79,48,0.94,1,,,,,,,,,,,,,,,
Denver,Oct,66,37,1.02,4,,,,,,,,,,,,,,,
Denver,Nov,52,25,0.59,9,,,,,,,,,,,,,,,
Denver,Dec,45,18,0.31,9,,,,,,,,,,,,,,,
Chicago,Jan,32,18,2.05,10,135,,,,,,,,,,,,,,
Chicago,Feb,36,21,1.93,8,136,,,,,,,,,,,,,,
Chicago,Mar,46,30,2.72,11,187,,,,,,,,,,,,,,
Chicago,Apr,59,41,3.62,11,215,,,,,,,,,,,,,,
Chicago,May,70,52,4.13,11,281,,,,,,,,,,,,,,
Chicago,Jun,81,63,4.06,10,311,,,,,,,,,,,,,,
Chicago,Jul,84,68,4.02,9,318,,,,,,,,,,,,,,
Chicago,Aug,82,66,3.98,9,283,,,,,,,,,,,,,,
Chicago,Sep,75,57,3.31,8,226,,,,,,,,,,,,,,
Chicago,Oct,63,46,3.23,10,193,,,,,,,,,,,,,,
Chicago,Nov,48,34,3.43,11,113,,,,,,,,,,,,,,
Chicago,Dec,36,23,2.56,11,106,,,,,,,,,,,,,,
DC,Jan,42,27,3.03,11,76,,,,,,,,,,,,,,
DC,Feb,44,28,2.48,8,97,,,,,,,,,,,,,,
DC,Mar,53,35,3.23,12,135,,,,,,,,,,,,,,
DC,Apr,64,44,3.15,10,182,,,,,,,,,,,,,,
DC,May,75,54,4.13,12,221,,,,,,,,,,,,,,
DC,Jun,83,63,3.23,9,214,,,,,,,,,,,,,,
DC,Jul,87,68,4.13,10,226,,,,,,,,,,,,,,
DC,Aug,84,66,4.88,10,186,,,,,,,,,,,,,,
DC,Sep,78,59,3.82,8,170,,,,,,,,,,,,,,
DC,Oct,67,48,3.07,8,123,,,,,,,,,,,,,,
DC,Nov,55,38,2.83,8,87,,,,,,,,,,,,,,
DC,Dec,45,29,2.8,9,66,,,,,,,,,,,,,,
SD,Jan,65,49,1.97,7,216,,,,,,,,,,,,,,
SD,Feb,65,51,2.28,7,212,,,,,,,,,,,,,,
SD,Mar,66,53,1.81,7,262,,,,,,,,,,,,,,
SD,Apr,67,56,0.79,5,242,,,,,,,,,,,,,,
SD,May,69,59,0.12,2,261,,,,,,,,,,,,,,
SD,Jun,71,62,0.08,1,253,,,,,,,,,,,,,,
SD,Jul,75,65,0.04,0,293,,,,,,,,,,,,,,
SD,Aug,76,67,0.04,0,277,,,,,,,,,,,,,,
SD,Sep,76,65,0.16,1,255,,,,,,,,,,,,,,
SD,Oct,73,61,0.55,3,234,,,,,,,,,,,,,,
SD,Nov,69,54,1.02,4,236,,,,,,,,,,,,,,
SD,Dec,65,48,1.54,6,217,,,,,,,,,,,,,,
Indy,Jan,36,20,2.64,12,133,,,,,,,,,,,,,,
Indy,Feb,40,24,2.28,10,146,,,,,,,,,,,,,,
Indy,Mar,52,33,3.54,11,179,,,,,,,,,,,,,,
Indy,Apr,63,43,3.78,12,216,,,,,,,,,,,,,,
Indy,May,73,53,5.04,13,263,,,,,,,,,,,,,,
Indy,Jun,82,62,4.21,11,288,,,,,,,,,,,,,,
Indy,Jul,85,66,4.53,10,294,,,,,,,,,,,,,,
Indy,Aug,84,64,3.11,8,272,,,,,,,,,,,,,,
Indy,Sep,78,56,3.11,8,234,,,,,,,,,,,,,,
Indy,Oct,65,45,3.11,8,195,,,,,,,,,,,,,,
Indy,Nov,52,35,3.7,10,117,,,,,,,,,,,,,,
Indy,Dec,39,24,3.15,12,102,,,,,,,,,,,,,,
